code,name,level,bbox_x0,bbox_x1,bbox_y0,bbox_y1
BRN,Brunei Darussalam,3,114.071457,115.359451,4.00309,5.04717
KHM,Cambodia,3,102.340012,107.627724,9.28325,14.6864
SEA,Southeast Asia,2,68.0327,141.021805,-12.56111,35.504211
IDN,Indonesia,3,94.969833,141.021805,-11.00485,6.07573
LAO,Lao People's Democratic Republic,3,100.093048,107.697021,13.91002,22.500389
MYS,Malaysia,3,98.935059,119.448433,0.66364,7.58378
PHL,Philippines,3,116.812721,126.856628,4.46811,21.23415
THA,Thailand,3,97.343964,105.636917,5.61257,20.464701
TLS,Timor-Leste,3,124.075439,127.345337,-9.51337,-8.13741
VNM,Viet Nam,3,102.144592,116.521233,7.3116,23.39274
MMR,Myanmar,3,92.189209,101.176788,9.60035,28.543249
SGP,Singapore,3,103.618248,104.40847,1.1158,1.47062
ACH,Aceh,4,94.9719518,98.2874409,1.977152,6.0767684
BLI,Bali,4,114.4316281,115.712436,-8.849259,-8.0616216
BTN,Banten,4,105.0998737,106.7798632,-7.0162812,-5.8075884
BKL,Bengkulu,4,101.0223917,103.790488,-5.5144394,-2.2886537
DIY,Daerah Istimewa Yogyakarta,4,110.0035292,110.8388279,-8.2056245,-7.5411616
DKI,DKI Jakarta,4,106.3904248,106.973391,-6.3726256,-5.2024189
GRL,Gorontalo,4,121.1612292,123.5522946,0.3062814,1.0556477
JMB,Jambi,4,101.1305567,104.5007284,-2.770058,-0.7304309
JBR,Jawa Barat,4,106.3702723,108.8470838,-7.8209896,-5.8065381
JTG,Jawa Tengah,4,108.5558488,111.6913937,-8.2118055,-5.725371
JTM,Jawa Timur,4,110.8952862,116.270189,-8.7802226,-5.0429653
KLB,Kalimantan Barat,4,108.5984443,114.2055226,-3.0679185,2.0814594
KLS,Kalimantan Selatan,4,114.3466358,117.4581571,-4.9427441,-1.3125795
KLT,Kalimantan Tengah,4,110.7324474,115.8493588,-3.5436072,0.791008999999974
KLR,Kalimantan Timur,4,113.8343353,119.0370861,-2.4095927,2.6193991
KLU,Kalimantan Utara,4,114.565164,117.9859339,1.1140414,4.4084617
KBB,Kepulauan Bangka Belitung,4,105.1085087,108.871826,-3.8016097,-1.4933986
KRU,Kepulauan Riau,4,103.2796842,109.1671146,-1.27537380000001,4.7957991
LPG,Lampung,4,103.5906969,106.111031,-6.1679656,-3.723666
MLK,Maluku,4,125.7225203,134.9084568,-8.3454115,-2.7254512
MLU,Maluku Utara,4,124.2830992,129.9235903,-2.4772034,2.6452451
NTB,Nusa Tenggara Barat,4,115.820981,119.3461622,-9.10965599999997,-8.080054
NTT,Nusa Tenggara Timur,4,118.927003,125.1933329,-11.0076154,-7.7786579
PPP,Papua,4,134.2994771,141.0200418,-9.1255417,0.9380073
PPB,Papua Barat,4,129.2999343,135.3341667,-4.330795,1.0812953
RAU,Riau,4,100.0497199,103.8135774,-1.127602,2.921154
SWB,Sulawesi Barat,4,117.0584108,119.8748281,-3.5705799,-0.8490964
SWS,Sulawesi Selatan,4,117.0382913,122.0955085,-7.7589412,-1.8811502
SWT,Sulawesi Tengah,4,119.4265269,124.181408,-3.6405632,1.3742815
SWG,Sulawesi Tenggara,4,120.8644975,124.6168589,-6.2130784,-2.7732888
SWU,Sulawesi Utara,4,123.1048123,127.1634534,0.2921318,5.5659463
SMB,Sumatera Barat,4,98.5965019,101.892883,-3.57302,0.9067222
SMS,Sumatera Selatan,4,102.0638889,106.2206874,-4.9241592,-1.6269315
SMU,Sumatera Utara,4,97.0574708,100.434456,-0.6387974,4.3025467
